sentiment,text,clean_tweet,tweet_len,pos_percent,neg_percent,predicted_sentiment_score
positive,"RT @cutedejun: sm not letting xiaojun go for his graduation nor his brother's wedding last year is my villain origin story, he's too nice t…",rt  sm not letting xiaojun go for his graduation nor his brothers wedding last year is my villain origin story hes too nice t,24,0.041666666666666664,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
negative,RT @mainintrovert: Aww nagtampo puro raw ako #KDLex. Sorry Rui. 🥺 Study time muna at cuddle with you. \n\n@alexailacad and @kdestrada_ are in…,rt  aww nagtampo puro raw ako kdlex sorry rui  study time muna at cuddle with you nn and  are in,20,0.0,0.05,negative
negative,RT @devinisasleep: Lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,rt  lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,24,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
positive,Jen spent time on Facebook. She enjoyed learning about social media post times &amp; follower growth. She is a marketin… https://t.co/Tfeq7SPMaY,jen spent time on facebook she enjoyed learning about social media post times amp follower growth she is a marketin,20,0.05,0.0,positive
neutral,@ShesVitriolic Looks like a graduation cap.,looks like a graduation cap,5,0.2,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
negative,"@Marcheline3Di For me, it was spent recovering from an all-nighter I spent on music projects related to a VTuber's… https://t.co/HQ3LEAH1aF",for me it was spent recovering from an allnighter i spent on music projects related to a vtubers,18,0.0,0.0,neutral
neutral,"RT @msrgriffith: When I graduated in grade 8, our school custodian attended to give me a graduation present. I still have it and I never fo…",rt  when i graduated in grade  our school custodian attended to give me a graduation present i still have it and i never fo,24,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,RT @aboyobbhuyan: Assam: Nomenclature of ‘Graduate Teacher’ and ‘Post-Graduate Teacher’ will be abolished.\n\nAll teachers will be referred t…,rt  assam nomenclature of graduate teacher and postgraduate teacher will be abolishednnall teachers will be referred t,17,0.0,0.0,neutral
positive,RT @rajaesiesta: 349. Happy graduation https://t.co/wNNmEjDVIX,rt   happy graduation,3,0.3333333333333333,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
negative,RT @mainintrovert: Aww nagtampo puro raw ako #KDLex. Sorry Rui. 🥺 Study time muna at cuddle with you. \n\n@alexailacad and @kdestrada_ are in…,rt  aww nagtampo puro raw ako kdlex sorry rui  study time muna at cuddle with you nn and  are in,20,0.0,0.05,negative
positive,All but decided I'm going to Hawaii for my graduation trip. Yippee. 2 nights at Disney Aulani since I can't really… https://t.co/8n8RkBduxK,all but decided im going to hawaii for my graduation trip yippee  nights at disney aulani since i cant really,20,0.0,0.0,neutral
neutral,GISELLE SELFIE GRADUATION 🎓 https://t.co/UaHyumrZik,giselle selfie graduation,3,0.0,0.0,neutral
negative,RT @devinisasleep: Lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,rt  lexi bout to be giving that graduation speech to an empty echoing ass arena she the only one making it outta that school,24,0.0,0.0,neutral
positive,"@kimberlyxsays @USC_FB no? We lost like 30 guys to portal/draft/graduation, lol",no we lost like  guys to portaldraftgraduation lol,8,0.125,0.125,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,rt   at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,20,0.0,0.05,negative
neutral,@exampuroficial According 13.1इसमें क्लियर लिखा है cbt1 का स्तर पद मे दी गई योग्यता के हिसाब से होगा \nतो फिर gradua… https://t.co/A26lmo4Jp3,according     cbt            n  gradua,4,0.0,0.0,neutral
neutral,RT @48RequestHour: Preview of some of Kato Rena’s upcoming Graduation Goods! The video has Renacchi posing in various AKB48 Isshous from di…,rt  preview of some of kato renas upcoming graduation goods the video has renacchi posing in various akb isshous from di,21,0.0,0.0,neutral
negative,"I have an irl friend here on Twitter, a college close friend, ( hi there, mhega)  and we only message each other du… https://t.co/IQKJ6X77w8",i have an irl friend here on twitter a college close friend  hi there mhega  and we only message each other du,22,0.0,0.0,neutral
neutral,"RT @Asa_Jikwana: Last day apha kule Office😊ndiyivune yonke igadi\nMy graduation is in 3 months, so uthe uMakhulu soyigcina lemali ndithenge…",rt  last day apha kule officendiyivune yonke igadinmy graduation is in  months so uthe umakhulu soyigcina lemali ndithenge,18,0.0,0.0,neutral
neutral,"RT @chspuck: Senior Sunday🏒🥅🚨Josh Mohl\nNickname: Mohly, Parents: Troy &amp; Brenda Mohl, Hockey #: 23, Position: Forward, Sports and activities…",rt  senior sundayjosh mohlnnickname mohly parents troy amp brenda mohl hockey   position forward sports and activities,16,0.0,0.0,neutral
positive,Hoy AMA pakyu ka bigay mo na Form 137 namin for JHS panira ka sa graduation eh! Hahahaha,hoy ama pakyu ka bigay mo na form  namin for jhs panira ka sa graduation eh hahahaha,17,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,@khansiroffical0 @RailMinIndia @PMOIndia According 13.1 इसमें क्लियर लिखा है cbt1 का स्तर पद मे दी गई योग्यता के हि… https://t.co/WZYhB0rmtv,according      cbt,2,0.0,0.0,neutral
neutral,RT @daddaeekalix: the things i miss in ElVi:\n\n18th b-day of elyse\nsevi watching elyse's cheerleader competition\nelyse watching sevi's playi…,rt  the things i miss in elvinnth bday of elysensevi watching elyses cheerleader competitionnelyse watching sevis playi,17,0.0,0.058823529411764705,negative
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
negative,"RT @seongminbliss: this part when minhee talking about his graduation days 😂 he said in his middle school graduation day, he was childish b…",rt  this part when minhee talking about his graduation days  he said in his middle school graduation day he was childish b,22,0.0,0.045454545454545456,negative
neutral,829 days until May 2024 and graduation 🤪🤪🤪,days until may  and graduation,5,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
negative,I don't really care for flowers but I feel like my friends and family need to come hard with em for my graduation😂… https://t.co/yWojyfPCsX,i dont really care for flowers but i feel like my friends and family need to come hard with em for my graduation,23,0.043478260869565216,0.043478260869565216,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,"My big brother and I at FAM Graduation in São Paulo, Brasil! https://t.co/gP7Kzz0pb6",my big brother and i at fam graduation in so paulo brasil,12,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,Mukhang magiging graduation gift yung mga albums na inorder ko ah HAHAHAHAHAHAHA neta pa ㅠㅠ,mukhang magiging graduation gift yung mga albums na inorder ko ah hahahahahahaha neta pa,14,0.0,0.0,neutral
positive,"this is why i can’t do the speech at graduation. although i’m honored, i really can’t speak in front of a large crowd of people.",this is why i cant do the speech at graduation although im honored i really cant speak in front of a large crowd of people,25,0.04,0.0,positive
positive,RT @TexasFarmBureau: New scholarship available! The Texas Farm Bureau Rural Veterinary Scholarship is for second-year and third-year veteri…,rt  new scholarship available the texas farm bureau rural veterinary scholarship is for secondyear and thirdyear veteri,17,0.058823529411764705,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
positive,"Azusa can't stand being lonely. At the graduation of the original club members, she begged them under tears to not… https://t.co/879g3RJBj3",azusa cant stand being lonely at the graduation of the original club members she begged them under tears to not,20,0.0,0.05,negative
positive,RT @pratikks999: PRATIK DESERVES BB TROPHY\n\nGraduation is such a great feeling \nIts start of another day and journey so new \nIts a day fill…,rt  pratik deserves bb trophynngraduation is such a great feeling nits start of another day and journey so new nits a day fill,23,0.043478260869565216,0.0,positive
neutral,@amyriscool Retention and graduation rates with a look at student debt incurred,retention and graduation rates with a look at student debt incurred,11,0.0,0.09090909090909091,negative
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,@Ipercreeper_ @atribecalledwu He dose tcd LR graduation 808s MBDTF,he dose tcd lr graduation s mbdtf,7,0.0,0.0,neutral
neutral,@sonali_mehta25 @rishibagree @priyankagandhi I completed my graduation in 20 years 🤣🤣🤣🤣,i completed my graduation in  years,6,0.0,0.0,neutral
positive,@Dr_Meming @OpenAcademics @AcademicChatter Asking for a friend: how many years post graduation should you keep thos… https://t.co/wWEfMfytA3,asking for a friend how many years post graduation should you keep thos,13,0.0,0.0,neutral
neutral,@VinodMeena966 @AshwiniVaishnaw @RailMinIndia इसमें क्लियर लिखा है cbt1 का स्तर पद मे दी गई योग्यता के हिसाब से हो… https://t.co/MKq2aAKTOO,cbt,1,0.0,0.0,neutral
neutral,RT @knock1965: #しまりん  ~graduation~\n\n#portrait \n#photography https://t.co/GIes9elLTn,rt    graduationnnportrait nphotography,3,0.0,0.0,neutral
positive,My graduation pictures make me so happy like i did thattttt,my graduation pictures make me so happy like i did thattttt,11,0.18181818181818182,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
positive,RT @IamTheDirector: This shirt is amazing! Thanks so much to @POTUSThump for the graduation gift! Can't wait for this definite hit crossove…,rt  this shirt is amazing thanks so much to  for the graduation gift cant wait for this definite hit crossove,20,0.05,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,RT @moonlitprints: Graduation Stickers are a must for your graduation festivities!! #classof2022 #graduation2022 #graduationpartyfavors #Sp…,rt  graduation stickers are a must for your graduation festivities classof graduation graduationpartyfavors sp,14,0.0,0.0,neutral
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,rt   at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,20,0.0,0.05,negative
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,Graduation Stickers are a must for your graduation festivities!! #classof2022 #graduation2022… https://t.co/kLexYuLXUg,graduation stickers are a must for your graduation festivities classof graduation,11,0.0,0.0,neutral
negative,"RT @DurhamPublicSch: Due to hazardous secondary road conditions and an expected overnight refreeze, tomorrow, Jan. 24, will be a remote lea…",rt  due to hazardous secondary road conditions and an expected overnight refreeze tomorrow jan  will be a remote lea,19,0.0,0.05263157894736842,negative
positive,Jen spent time on Facebook. She enjoyed learning about social media analytics &amp; promotion. She is a marketing major… https://t.co/vdpeJVj5iU,jen spent time on facebook she enjoyed learning about social media analytics amp promotion she is a marketing major,19,0.05263157894736842,0.0,positive
positive,@alessandriana1 just remembering that i got my first laptop as a graduation present in 2003 and it was SUCH a big deal 😅,just remembering that i got my first laptop as a graduation present in  and it was such a big deal,20,0.0,0.0,neutral
neutral,received an email that struck terror to my heart earlier (graduation ceremony that was supposed to happen last year is now on the horizon),received an email that struck terror to my heart earlier graduation ceremony that was supposed to happen last year is now on the horizon,24,0.0,0.08333333333333333,negative
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,rt   at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,20,0.0,0.05,negative
negative,"@mitrakalita What’s wrong with crying? Don’t squish totally normal reactions to graduation, college drop off, kid m… https://t.co/neAL5PyjDA",whats wrong with crying dont squish totally normal reactions to graduation college drop off kid m,16,0.0,0.0625,negative
positive,"RT @notedchampagne: hc that post-graduation the first years are close enough they call each other by their first names, except for tsukishi…",rt  hc that postgraduation the first years are close enough they call each other by their first names except for tsukishi,21,0.047619047619047616,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,@KartikRShetty @ChhapoliaRam @i3JPRAiBZlTBYSb @ANI 10th from cbse 12th from UP Board &amp; graduation from mjpru !,th from cbse th from up board amp graduation from mjpru,11,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,face to face graduation cutieeee✊,face to face graduation cutieeee,5,0.0,0.0,neutral
positive,"@ajeetsharmainc Thanks respected sir for simpathy. \nSir  monthly  pay ki bate jrur uthaye kyoki.\n10,12,graduation f… https://t.co/AbZDVfmQzZ",thanks respected sir for simpathy nsir  monthly  pay ki bate jrur uthaye kyokingraduation f,14,0.0,0.0,neutral
neutral,RT @actressKSJ: Yuju's                                Yuju's solo\ngraduation                           debut https://t.co/NiUkyE8R3G,rt  yujus                                yujus solongraduation                           debut,5,0.0,0.0,neutral
neutral,@exbeekeeper ppl said it might be so they can age the cast up at some point without having to deal with graduation?… https://t.co/eKbOJ4L8In,ppl said it might be so they can age the cast up at some point without having to deal with graduation,21,0.0,0.0,neutral
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,rt   at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,20,0.0,0.05,negative
neutral,@AnissaBarrr @GCWrestling_ Is this your graduation cap?,is this your graduation cap,5,0.0,0.0,neutral
neutral,RT @tsuramthinker: haram's graduation photo https://t.co/n0gHigy4qH,rt  harams graduation photo,4,0.0,0.0,neutral
negative,RT @MattWaldman: His resume lacks punch because he spent three years hiking through southeast Asia after graduation and his experience in t…,rt  his resume lacks punch because he spent three years hiking through southeast asia after graduation and his experience in t,21,0.0,0.09523809523809523,negative
positive,"RT @kookiejinnist: 23 yr old Uni student jk celebrating  graduation with his classmates and meets sj in a bar, spends the night at sj’s pla…",rt   yr old uni student jk celebrating  graduation with his classmates and meets sj in a bar spends the night at sjs pla,23,0.0,0.0,neutral
neutral,@ata225 … and living in Japan where it feels like whatever research results we get it doesn’t make a difference… I’… https://t.co/sQkVy10awN,and living in japan where it feels like whatever research results we get it doesnt make a difference i,19,0.05263157894736842,0.0,positive
neutral,RT @Billlie_info: Kim haram's Graduation Photo 💜🎀💙\n\n #하람 #ハラム #HARAM\n#빌리 #ビリー #Billlie @Billlieofficial https://t.co/IEkKSttV4e,rt  kim harams graduation photo nn   haramn  billlie,8,0.0,0.0,neutral
positive,"cute pag pasok ko cinema 1, nag play graduation song. wahahhahahaa",cute pag pasok ko cinema  nag play graduation song wahahhahahaa,10,0.1,0.1,neutral
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,rt   at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,20,0.0,0.05,negative
neutral,【PR】\n神戸ファッション専門学校（ @kfi_fashion ）\n\n2022ファッションフェア\nMOMENT\n\n学生代表のメッセージをお届けします。\n\n▽卒展の準備風景や会場の様子\n#ファッションスクール卒展2022 \n\n▽開催… https://t.co/E5Mw8G1GNN,prn  nnnmomentnnnnn nn,3,0.0,0.0,neutral
positive,RT @seongminbliss: 🐶: at the graduation ceremony\n🐶: i shouldve worn school uniform\n🐶: thats right\n🐶: i just wore my favourite coat\n🐶: i tho…,rt   at the graduation ceremonyn i shouldve worn school uniformn thats rightn i just wore my favourite coatn i tho,20,0.0,0.05,negative
neutral,"RT @OnlinePalEng: Awareness of the inevitability of liberation!\n\nPalestinian architect student Saja Al-Barghouti, daughter of professor and…",rt  awareness of the inevitability of liberationnnpalestinian architect student saja albarghouti daughter of professor and,15,0.0,0.0,neutral
negative,Chutiya bhakts may excel at photoshop but poor spelling will reveal their deceit. WhatsApp University se graduation… https://t.co/GYKAOT6CQr,chutiya bhakts may excel at photoshop but poor spelling will reveal their deceit whatsapp university se graduation,17,0.058823529411764705,0.11764705882352941,negative
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,"RT @PEFMISSIONS: Awareness of the inevitability of liberation!\n\nPalestinian architect student Saja Al-Barghouti, daughter of professor and…",rt  awareness of the inevitability of liberationnnpalestinian architect student saja albarghouti daughter of professor and,15,0.0,0.0,neutral
negative,I wanted to be a pediatrician- little me said babyatrician for my preschool graduation https://t.co/F9URPyYVgu,i wanted to be a pediatrician little me said babyatrician for my preschool graduation,14,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,RT @48RequestHour: AKB48 Team TP's Captain Chen Shih-ya announced graduation.\n\nHer graduation concert will be held in May. https://t.co/QgN…,rt  akb team tps captain chen shihya announced graduationnnher graduation concert will be held in may,16,0.0,0.0,neutral
positive,"RT @kookiejinnist: 23 yr old Uni student jk celebrating  graduation with his classmates and meets sj in a bar, spends the night at sj’s pla…",rt   yr old uni student jk celebrating  graduation with his classmates and meets sj in a bar spends the night at sjs pla,23,0.0,0.0,neutral
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
neutral,RT @MdBreathe: Here’s the man to thank for getting this march organized today…. Matt Tune @matthewtune - an @nbc exec who can’t go to his d…,rt  heres the man to thank for getting this march organized today matt tune   an  exec who cant go to his d,22,0.045454545454545456,0.0,positive
